GenProtEC: Gene product function of E. coli K-12.
August 28th, 2007.

eck	bnum	genbank	gene	gene type	gene product	EC no1	EC no2	EC no3	EC no4
ECK0022	b4564	87082413	insB-7_2	h	IS1 transposase InsAB', C-ter fragment (pseudogene)				
ECK0022	b4576		insB-7	su	IS1 transposase InsAB' (pseudogene)				
ECK0023	b0022	1786204	insA-1	h	IS1 repressor protein InsA				
ECK0023	b0265	1786460	insA-2	h	CP4-6 prophage; IS1 repressor protein InsA				
ECK0023	b0275	1786471	insA-3	h	CP4-6 prophage; IS1 repressor protein InsA				
ECK0023	b1894	1788204	insA-5	h	IS1 repressor protein InsA				
ECK0023	b3444	1789852	insA-6	h	IS1 repressor protein InsA				
ECK0023	b4294	1790747	insA-7	h	KpLE2 phage-like element; IS1 repressor protein InsA				
ECK0023	b4516	87081814	insA-4	h	IS1 repressor protein InsA				
ECK0024	b0023	1786206	rpsT	s	30S ribosomal subunit protein S20				
ECK0025	b0024	1786207	yaaY	o	predicted protein				
ECK0026	b0025	1786208	ribF	e	bifunctional riboflavin kinase -!- FAD synthetase	2.7.1.26	2.7.7.2		
ECK0027	b0026	2367096	ileS	e	isoleucyl-tRNA synthetase	6.1.1.5			
ECK0028	b0027	1786210	lspA	e	prolipoprotein signal peptidase (signal peptidase II)	3.4.23.36			
ECK0029	b0028	1786211	fkpB	e	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	5.2.1.8			
ECK0030	b0029	1786212	ispH	c	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	1.17.1.2			
ECK0031	b0030	1786213	rihC	e	ribonucleoside hydrolase 3	3.2.2.-			
ECK0032	b0031	1786214	dapB	e	dihydrodipicolinate reductase	1.3.1.26			
ECK0033	b0032	1786215	carA	e	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	6.3.5.5			
ECK0034	b0033	1786216	carB	e	carbamoyl-phosphate synthase large subunit	6.3.5.5			
ECK0035	b0034	87081680	caiF	r	DNA-binding transcriptional activator				
ECK0036	b0035	87081681	caiE	pe	predicted acyl transferase				
ECK0037	b0036	1786220	caiD	e	crotonobetainyl CoA hydratase	4.2.1.-			
ECK0038	b0037	1786221	caiC	pe	predicted crotonobetaine CoA ligase:carnitine CoA ligase	6.3.2.-			
ECK0039	b0038	1786222	caiB	e	crotonobetainyl CoA:carnitine CoA transferase	2.8.3.-			
ECK0040	b0039	1786223	caiA	e	crotonobetaine reductase subunit II, FAD-binding	1.3.99.-			
ECK0041	b0040	1786224	caiT	pt	predicted transporter				
ECK0042	b0041	87081682	fixA	pe	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain				
ECK0043	b0042	1786226	fixB	pc	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like				
ECK0044	b0043	1786227	fixC	pc	predicted oxidoreductase, FAD/NAD(P)-binding domain				
ECK0045	b0044	1786228	fixX	pc	predicted 4Fe-4S ferredoxin-type protein				
ECK0046	b0045	1786229	yaaU	pt	predicted transporter				
ECK0047	b0046	1786231	kefF	pc	flavoprotein subunit for the KefC potassium efflux system				
ECK0048	b0047	1786232	kefC	t	potassium:proton antiporter				
ECK0049	b0048	1786233	folA	e	dihydrofolate reductase	1.5.1.3			
ECK0050	b0049	1786234	apaH	e	diadenosine tetraphosphatase	3.6.1.41			
ECK0051	b0050	1786235	apaG	pt	protein associated with Co2+ and Mg2+ efflux				
ECK0052	b0051	1786236	ksgA	e	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	2.1.1.-			
ECK0053	b0052	1786237	pdxA	e	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	1.1.1.262			
ECK0054	b0053	1786238	surA	e	peptidyl-prolyl cis-trans isomerase (PPIase)	5.2.1.8			
ECK0055	b0054	1786239	imp	f	exported protein required for envelope biosynthesis and integrity				
ECK0056	b0055	1786241	djlA	f	DnaJ-like protein, membrane anchored, DNA-binding				
ECK0057	b0056	1786242	yabP	o	predicted protein				
ECK0058	b0057	1786243	yabQ	o	predicted protein				
ECK0059	b0058	1786244	rluA	e	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	4.2.1.70			
ECK0060	b0059	1786245	hepA	f	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	3.6.1.-			
ECK0061	b0060	1786246	polB	e	DNA polymerase II	2.7.7.7			
ECK0062	b0061	1786247	araD	e	L-ribulose-5-phosphate 4-epimerase	5.1.3.4			
ECK0063	b0062	1786248	araA	e	L-arabinose isomerase	5.3.1.4			
ECK0064	b0063	1786249	araB	e	L-ribulokinase	2.7.1.16			
ECK0065	b0064	1786251	araC	r	DNA-binding transcriptional dual regulator				
ECK0066	b0065	1786252	yabI	pm	conserved inner membrane protein				
ECK0067	b0066	1786253	thiQ	t	thiamin transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0068	b0067	1786254	thiP	t	fused subunits of thiamin transporter -!- membrane components of ABC superfamily				
ECK0069	b0068	1786255	tbpA	t	thiamin transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0070	b0069	1786256	sgrR	r	DNA-binding transcriptional regulator				
ECK0071	b4577		sgrS	n	small antisense RNA				
ECK0072	b0070	48994875	setA	t	broad specificity sugar efflux system				
ECK0073	b0071	1786258	leuD	e	3-isopropylmalate isomerase subunit	4.2.1.33			
ECK0074	b0072	1786259	leuC	e	3-isopropylmalate isomerase subunit, dehydratase component	4.2.1.33			
ECK0075	b0073	87081683	leuB	e	3-isopropylmalate dehydrogenase	1.1.1.85			
ECK0076	b0074	1786261	leuA	e	2-isopropylmalate synthase	4.1.3.12			
ECK0077	b0075	1786263	leuL	l	leu operon leader peptide				
ECK0078	b0076	87081684	leuO	r	DNA-binding transcriptional activator				
ECK0079	b0077	87081685	ilvI	e	acetolactate synthase III, large subunit	2.2.1.6			
ECK0080	b0078	1786266	ilvH	e	acetolactate synthase III, thiamin-dependent, small subunit	2.2.1.6			
ECK0081	b0080	1786268	fruR	r	DNA-binding transcriptional dual regulator				
ECK0082	b0081	1786269	mraZ	o	conserved protein				
ECK0083	b0082	1786270	mraW	e	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	2.1.1.-			
ECK0084	b0083	1786271	ftsL	cp	membrane bound cell division protein at septum containing leucine zipper motif				
ECK0085	b0084	1786272	ftsI	e	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)				
ECK0086	b0085	1786273	murE	e	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	6.3.2.13			
ECK0087	b0086	1786274	murF	e	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	6.3.2.10			
ECK0088	b0087	1786275	mraY	e	phospho-N-acetylmuramoyl-pentapeptide transferase	2.7.8.13			
ECK0089	b0088	1786276	murD	e	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	6.3.2.9			
ECK0090	b0089	1786277	ftsW	cp	integral membrane protein involved in stabilising FstZ ring during cell division				
ECK0091	b0090	1786278	murG	e	N-acetylglucosaminyl transferase	2.4.1.227			
ECK0092	b0091	1786279	murC	e	UDP-N-acetylmuramate:L-alanine ligase	6.3.2.8			
ECK0093	b0092	1786280	ddlB	e	D-Alanine:D-alanine ligase	6.3.2.4			
ECK0094	b0093	1786281	ftsQ	cp	membrane anchored protein involved in growth of wall at septum				
ECK0095	b0094	1786282	ftsA	cp	ATP-binding cell division protein involved in recruitment of FtsK to Z ring				
ECK0096	b0095	1786284	ftsZ	cp	GTP-binding tubulin-like cell division protein				
ECK0097	b0096	1786285	lpxC	e	UDP-3-O-acyl N-acetylglucosamine deacetylase	3.5.1.-			
ECK0098	b0097	87081686	secM	r	regulator of secA translation				
ECK0099	b0098	1786287	secA	t	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon				
ECK0100	b0099	1786288	mutT	e	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	3.6.1.-			
ECK0101	b0101	1786290	yacG	o	conserved protein				
ECK0102	b0102	1786291	yacF	o	conserved protein				
ECK0103	b0103	1786292	coaE	e	dephospho-CoA kinase	2.7.1.24			
ECK0104	b0104	1786293	guaC	e	GMP reductase	1.7.1.7			
ECK0105	b0106	1786295	hofC	s	assembly protein in type IV pilin biogenesis, transmembrane protein				
ECK0106	b0107	1786296	hofB	d	conserved protein with nucleoside triphosphate hydrolase domain				
ECK0107	b0108	1786297	ppdD	ps	predicted major pilin subunit				
ECK0108	b0109	1786299	nadC	e	quinolinate phosphoribosyltransferase	2.4.2.19			
ECK0109	b0110	1786300	ampD	e	N-acetyl-anhydromuranmyl-L-alanine amidase	3.5.1.28			
ECK0110	b0111	1786301	ampE	pm	predicted inner membrane protein				
ECK0111	b0112	1786302	aroP	t	aromatic amino acid transporter				
ECK0112	b0113	1786303	pdhR	r	DNA-binding transcriptional dual regulator				
ECK0113	b0114	1786304	aceE	e	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	1.2.4.1			
ECK0114	b0115	1786305	aceF	e	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	2.3.1.12			
ECK0115	b0116	1786307	lpd	e	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1.8.1.4			
ECK0116	b0117	1786308	yacH	o	predicted protein				
ECK0117	b0118	2367097	acnB	e	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	4.2.1.3	4.2.1.99		
ECK0118	b0119	87081687	yacL	o	conserved protein				
ECK0119	b0120	1786311	speD	e	S-adenosylmethionine decarboxylase	4.1.1.50			
ECK0120	b0121	1786312	speE	e	spermidine synthase (putrescine aminopropyltransferase)	2.5.1.16			
ECK0121	b0122	87081688	yacC	o	predicted protein				
ECK0122	b0123	1786314	cueO	e	multicopper oxidase (laccase)				
ECK0123	b0124	1786316	gcd	e	glucose dehydrogenase	1.1.5.2			
ECK0124	b0125	87081689	hpt	e	hypoxanthine phosphoribosyltransferase	2.4.2.8			
ECK0125	b0126	1786318	can	e	carbonic anhydrase	4.2.1.1			
ECK0126	b0127	1786319	yadG	pt	predicted transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0127	b0128	1786320	yadH	pt	predicted transporter subunit -!- membrane component of ABC superfamily				
ECK0128	b0129	1786321	yadI	pt	predicted PTS Enzyme IIA				
ECK0129	b0130	1786322	yadE	pe	predicted polysaccharide deacetylase lipoprotein				
ECK0130	b0131	1786323	panD	e	aspartate 1-decarboxylase	4.1.1.11			
ECK0131	b0132	1786324	yadD	ph	predicted transposase				
ECK0132	b0133	1786325	panC	e	pantothenate synthetase	6.3.2.1			
ECK0133	b0134	1786326	panB	e	3-methyl-2-oxobutanoate hydroxymethyltransferase	2.1.2.11			
ECK0134	b0135	1786328	yadC	ps	predicted fimbrial-like adhesin protein				
ECK0135	b0136	1786329	yadK	ps	predicted fimbrial-like adhesin protein				
ECK0136	b0137	1786330	yadL	ps	predicted fimbrial-like adhesin protein				
ECK0137	b0138	87081690	yadM	ps	predicted fimbrial-like adhesin protein				
ECK0138	b0139	1786332	htrE	pf	predicted outer membrane usher protein				
ECK0139	b0140	1786333	ecpD	pf	predicted periplasmic pilin chaperone				
ECK0140	b0141	1786334	yadN	ps	predicted fimbrial-like adhesin protein				
ECK0141	b0142	1786335	folK	e	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	2.7.6.3			
ECK0142	b0143	87081691	pcnB	e	poly(A) polymerase I	2.7.7.19			
ECK0143	b0144	1786337	yadB	e	glutamyl-Q tRNA(Asp) synthetase	6.1.1.-			
ECK0144	b0145	1786338	dksA	r	transcriptional regulator of rRNA transcription, DnaK suppressor protein				
ECK0145	b0146	1786340	sfsA	pr	predicted DNA-binding transcriptional regulator				
ECK0146	b0147	87081692	ligT	e	2'-5' RNA ligase	6.5.1.-			
ECK0147	b0148	87081693	hrpB	pe	predicted ATP-dependent helicase				
ECK0148	b0149	1786343	mrcB	e	fused glycosyl transferase -!- transpeptidase	2.4.1.129	3.4.-.-		
ECK0149	b0150	1786344	fhuA	t	ferrichrome outer membrane transporter				
ECK0150	b0151	1786345	fhuC	t	iron-hydroxamate transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0151	b0152	1786346	fhuD	t	iron-hydroxamate transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0152	b0153	1786347	fhuB	t	fused subunits of iron-hydroxamate transporter -!- membrane components of ABC superfamily transporter				
ECK0153	b0154	1786349	hemL	e	glutamate-1-semialdehyde aminotransferase (aminomutase)	5.4.3.8			
ECK0154	b0155	1786350	clcA	t	chloride channel, voltage-gated				
ECK0155	b0156	1786351	erpA	f	Fe-S protein, possible role in Fe-S cluster assembly				
ECK0156	b0157	1786352	yadS	pm	conserved inner membrane protein				
ECK0157	b0158	1786353	btuF	t	vitamin B12 transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0158	b0159	1786354	pfs	e	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	3.2.2.16	3.2.2.9		
ECK0159	b0160	1786355	dgt	e	deoxyguanosine triphosphate triphosphohydrolase	3.1.5.1			
ECK0160	b0161	1786356	degP	e	serine endoprotease (protease Do), membrane-associated	3.4.21.-			
ECK0161	b0162	87081694	cdaR	r	DNA-binding transcriptional regulator				
ECK0162	b0163	1786359	yaeH	o	conserved protein				
ECK0163	b0164	87081695	yaeI	pe	predicted phosphatase				
ECK0164	b0166	1786362	dapD	e	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	2.3.1.117			
ECK0165	b0167	1786363	glnD	e	uridylyltransferase	2.7.7.59			
ECK0166	b0168	1786364	map	e	methionine aminopeptidase	3.4.11.18			
ECK0167	b4414		t44	n	small RNA				
ECK0168	b0169	1786365	rpsB	s	30S ribosomal subunit protein S2				
ECK0169	b0170	1786366	tsf	f	protein chain elongation factor EF-Ts				
ECK0170	b0171	1786367	pyrH	e	uridylate kinase	2.7.4.-			
ECK0171	b0172	1786368	frr	f	ribosome recycling factor				
ECK0172	b0173	1786369	dxr	e	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267			
ECK0173	b0174	1786371	ispU	e	undecaprenyl pyrophosphate synthase	2.5.1.31			
ECK0174	b0175	87081696	cdsA	e	CDP-diglyceride synthase	2.7.7.41			
ECK0175	b0176	1786373	yaeL	e	zinc metallopeptidase	3.4.24.-			
ECK0176	b0177	1786374	yaeT	f	outer membrane protein assembly factor				
ECK0177	b0178	1786375	hlpA	f	periplasmic chaperone				
ECK0178	b0179	1786376	lpxD	e	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	2.3.1.-			
ECK0179	b0180	1786377	fabZ	e	(3R)-hydroxymyristol acyl carrier protein dehydratase	4.2.1.-			
ECK0180	b0181	1786378	lpxA	e	UDP-N-acetylglucosamine acetyltransferase	2.3.1.129			
ECK0181	b0182	1786379	lpxB	e	tetraacyldisaccharide-1-P synthase	2.4.1.182			
ECK0182	b0183	1786380	rnhB	e	ribonuclease HII, degrades RNA of DNA-RNA hybrids	3.1.26.4			
ECK0183	b0184	1786381	dnaE	e	DNA polymerase III alpha subunit	2.7.7.7			
ECK0184	b0185	1786382	accA	e	acetylCoA carboxylase, carboxytransferase, alpha subunit	6.4.1.2			
ECK0185	b0186	1786384	ldcC	e	lysine decarboxylase 2, constitutive	4.1.1.18			
ECK0186	b0187	87081697	yaeR	pe	predicted lyase				
ECK0187	b0188	1786386	tilS	e	tRNA(Ile)-lysidine synthetase	6.1.1.5			
ECK0188	b0189	87081698	rof	f	modulator of Rho-dependent transcription termination				
ECK0189	b4406	48994876	yaeP	o	conserved protein				
ECK0190	b0190	1786388	yaeQ	o	conserved protein				
ECK0191	b0191	1786389	yaeJ	d	conserved protein				
ECK0192	b0192	1786390	nlpE	lp	lipoprotein involved with copper homeostasis and adhesion				
ECK0193	b0193	87081699	yaeF	lp	predicted lipoprotein				
ECK0194	b0194	1786392	proS	e	prolyl-tRNA synthetase	6.1.1.15			
ECK0195	b0195	1786393	yaeB	o	conserved protein				
ECK0196	b0196	1786394	rcsF	pr	outer membrane lipoprotein, signal				
ECK0197	b0197	1786396	metQ	t	DL-methionine transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0198	b0198	1786397	metI	t	DL-methionine transporter subunit -!- membrane component protein of ABC superfamily				
ECK0199	b0199	1786398	metN	t	DL-methionine transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0200	b0200	1786399	gmhB	e	D,D-heptose 1,7-bisphosphate phosphatase	3.1.3.-			
ECK0201	b0201		rrsH	n	16S rRNA (rrsH)				
ECK0202	b0202		ileV	n	tRNA-Ile(GAU) (Isoleucine tRNA1)				
ECK0203	b0203		alaV	n	tRNA-Ala(UGC) (Alanine tRNA 1B)				
ECK0204	b0204		rrlH	n	23S rRNA (rrlH)				
ECK0205	b0205		rrfH	n	5S rRNA (rrfH)				
ECK0206	b0206		aspU	n	tRNA-Asp(GUC) (Aspartate tRNA1)				
ECK0207	b0207	1786400	dkgB	e	2,5-diketo-D-gluconate reductase B, NADP-binding	1.1.1.274			
ECK0208	b0208	1786401	yafC	pr	predicted DNA-binding transcriptional regulator				
ECK0209	b0209	1786403	yafD	d	conserved protein				
ECK0210	b0210	1786404	yafE	pe	predicted S-adenosyl-L-methionine-dependent methyltransferase				
ECK0211	b0211	1786405	mltD	pe	predicted membrane-bound lytic murein transglycosylase D	3.2.1.-			
ECK0212	b0212	1786406	gloB	pe	predicted hydroxyacylglutathione hydrolase				
ECK0213	b0213	87081700	yafS	pe	predicted S-adenosyl-L-methionine-dependent methyltransferase				
ECK0214	b0214	1786408	rnhA	e	ribonuclease HI, degrades RNA of DNA-RNA hybrids	3.1.26.4			
ECK0215	b0215	1786409	dnaQ	e	DNA polymerase III epsilon subunit	2.7.7.7			
ECK0216	b0216		aspV	n	tRNA-Asp(GUC) (Aspartate tRNA1)				
ECK0217	b0217	1786410	yafT	pe	predicted aminopeptidase				
ECK0218	b0218	1786411	yafU	pm	predicted inner membrane protein				
ECK0219	b4503	87081701	yafF	o	conserved protein				
ECK0220	b0219	1786412	yafV	pe	predicted C-N hydrolase family amidase, NAD(P)-binding				
ECK0221	b0220	1786413	ivy	pr	inhibitor of vertebrate C-lysozyme				
ECK0222	b0221	87081702	fadE	e	acyl coenzyme A dehydrogenase	1.3.99.3			
ECK0223	b0222	1786416	lpcA	e	D-sedoheptulose 7-phosphate isomerase	5.-.-.-			
ECK0224	b0223	1786417	yafJ	pe	predicted amidotransfease				
ECK0225	b0224	1786418	yafK	o	conserved protein				
ECK0226	b0225	1786419	yafQ	f	toxin of the YafQ-DinJ toxin-antitoxin system				
ECK0227	b0226	1786420	dinJ	f	antitoxin of YafQ-DinJ toxin-antitoxin system				
ECK0228	b0227	1786421	yafL	lp	predicted lipoprotein and C40 family peptidase				
ECK0229	b0228	1786422	yafM	o	conserved protein				
ECK0230	b0229	87081703	fhiA	su	flagellar system protein, promoterless fragment (pseudogene)				
ECK0231	b0230		mbhA	su	flagellar system protein, promoterless fragment (pseudogene)				
ECK0232	b0231	1786425	dinB	e	DNA polymerase IV	2.7.7.7			
ECK0233	b0232	1786426	yafN	pf	predicted antitoxin of the YafO-YafN toxin-antitoxin system				
ECK0234	b0233	1786427	yafO	pf	predicted toxin of the YafO-YafN toxin-antitoxin system				
ECK0235	b0234	1786428	yafP	pe	predicted acyltransferase with acyl-CoA N-acyltransferase domain				
ECK0236	b0235	1786430	ykfJ	o	conserved protein				
ECK0237	b0236	1786431	prfH	pf	predicted peptide chain release factor				
ECK0238	b0237	1786432	pepD	e	aminoacyl-histidine dipeptidase (peptidase D)	3.4.13.3			
ECK0239	b0238	1786433	gpt	e	guanine-hypoxanthine phosphoribosyltransferase	2.4.2.22			
ECK0240	b0239	1786434	frsA	r	hydrolase, binds to enzyme IIA(Glc)				
ECK0241	b0240	1786435	crl	r	DNA-binding transcriptional regulator				
ECK0242	b0241	1786436	phoE	t	outer membrane phosphoporin protein E				
ECK0243	b0242	1786437	proB	e	gamma-glutamate kinase	2.7.2.11			
ECK0244	b0243	1786438	proA	e	gamma-glutamylphosphate reductase	1.2.1.41			
ECK0245	b0244		thrW	n	tRNA-Thr(CGU) (Threonine tRNA2)				
ECK0246	b0245	1786439	ykfI	h	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system				
ECK0247	b0246	1786440	yafW	h	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system				
ECK0248	b4504	87081704	ykfH	o	predicted protein				
ECK0249	b0247	2367100	ykfG	h	CP4-6 prophage; predicted DNA repair protein				
ECK0250	b0248	1786442	yafX	h	CP4-6 prophage; predicted protein				
ECK0251	b0249	1786443	ykfF	h	CP4-6 prophage; predicted protein				
ECK0252	b0250	1786444	ykfB	h	CP4-6 prophage; predicted protein				
ECK0253	b0251	1786445	yafY	h	CP4-6 prophage; predicted DNA-binding transcriptional regulator				
ECK0254	b0252	87081705	yafZ	h	CP4-6 prophage; conserved protein				
ECK0255	b0253	87081706	ykfA	h	CP4-6 prophage; predicted GTP-binding protein				
ECK0256	b0254	1786448	perR	h	CP4-6 prophage; predicted DNA-binding transcriptional regulator				
ECK0257	b0255	1786449	insN-1	h	CP4-6 prophage; partial regulator of insertion element IS911A				
ECK0257	b4283	87082408	insN-2	h	KpLE2 phage-like element; partial regulator of insertion element IS911B. Interrupted by insertion of IS30 element.				
ECK0258	b0256	1786450	insI-1	h	CP4-6 prophage; IS30 transposase				
ECK0258	b1404	1787671	insI-2	h	IS30 transposase				
ECK0258	b4284	1790736	insI-3	h	KpLE2 phage-like element; IS30 transposase				
ECK0259	b0257	1786451	insO-1	h	CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element.				
ECK0260	b0258	87081707	ykfC	h	CP4-6 prophage; conserved protein				
ECK0261	b0259	1786453	insH-1	h	CP4-6 prophage; IS5 transposase and trans-activator				
ECK0261	b0552	1786764	insH-2	h	DLP12 prophage; IS5 transposase and trans-activator				
ECK0261	b0656	1786877	insH-3	h	IS5 transposase and trans-activator				
ECK0261	b1331	1787592	insH-4	h	IS5 transposase and trans-activator				
ECK0261	b1370	1787634	insH-5	h	Rac prophage; IS5 transposase and trans-activator				
ECK0261	b1994	1788303	insH-6	h	CP4-44 prophage; IS5 transposase and trans-activator				
ECK0261	b2030	1788342	insH-7	h	IS5 transposase and trans-activator				
ECK0261	b2192	1788518	insH-8	h	IS5 transposase and trans-activator				
ECK0261	b2982	1789355	insH-9	h	IS5 transposase and trans-activator				
ECK0261	b3218	1789612	insH-10	h	IS5 transposase and trans-activator				
ECK0261	b3505	1789921	insH-11	h	IS5 transposase and trans-activator				
ECK0262	b0260	87081708	mmuP	h	CP4-6 prophage; predicted S-methylmethionine transporter				
ECK0263	b0261	1786456	mmuM	h	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	2.1.1.10	2.1.1.		
ECK0264	b0262	87081709	afuC	h	CP4-6 prophage; predicted ferric transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0265	b0263	1786458	afuB	h	CP4-6 prophage; predicted ferric trasnporter subunit -!- membrane component of ABC superfamily				
ECK0266	b4505	87081710	ykgN	ph	predicted IS protein				
ECK0267	b0266	87081711	yagB	h	CP4-6 prophage; conserved protein				
ECK0268	b0267	1786462	yagA	h	CP4-6 prophage; predicted DNA-binding transcriptional regulator				
ECK0269	b0268	1786463	yagE	h	CP4-6 prophage; predicted lyase/synthase				
ECK0270	b0269	1786464	yagF	h	CP4-6 prophage; predicted dehydratase				
ECK0271	b0270	1786466	yagG	h	CP4-6 prophage; predicted sugar transporter				
ECK0272	b0271	1786467	yagH	h	CP4-6 prophage; predicted xylosidase/arabinosidase				
ECK0273	b0272	1786468	yagI	h	CP4-6 prophage; predicted DNA-binding transcriptional regulator				
ECK0274	b0273	1786469	argF	h	CP4-6 prophage; ornithine carbamoyltransferase 2, chain F	2.1.3.3			
ECK0275	b0276	1786472	yagJ	h	CP4-6 prophage; predicted protein				
ECK0276	b0277	1786473	yagK	h	CP4-6 prophage; conserved protein				
ECK0277	b0278	1786474	yagL	h	CP4-6 prophage; DNA-binding protein				
ECK0278	b0279	2367101	yagM	h	CP4-6 prophage; predicted protein				
ECK0279	b0280	2367102	yagN	h	CP4-6 prophage; predicted protein				
ECK0280	b0281	2367104	intF	h	CP4-6 prophage; predicted phage integrase				
ECK0281	b0282	1786476	yagP	pr	predicted transcriptional regulator				
ECK0282	b0283	1786477	yagQ	o	conserved protein				
ECK0283	b0284	1786478	yagR	pe	predicted oxidoreductase with molybdenum-binding domain				
ECK0284	b0285	1786479	yagS	pe	predicted xanthine dehydrogenase, FAD-binding subunit				
ECK0285	b0286	1786480	yagT	pe	predicted xanthine dehydrogenase, 2Fe-2S subunit				
ECK0286	b0287	1786481	yagU	pm	conserved inner membrane protein required for acid resistance				
ECK0287	b0288	2367105	ykgJ	pc	predicted ferredoxin				
ECK0288	b0289	87081712	yagV	d	conserved protein				
ECK0289	b0290	1786483	yagW	pr	predicted receptor				
ECK0290	b0291	1786484	yagX	pe	predicted aromatic compound dioxygenase				
ECK0291	b0292	1786485	yagY	o	predicted protein				
ECK0292	b0293	1786486	yagZ	o	conserved protein				
ECK0293	b0294	2367106	ykgK	pr	predicted regulator				
ECK0294	b0295	2367107	ykgL	o	predicted protein				
